Code,Flag,Info,Contents
SET,0,Member,형사
TALK,0,형사,필요한 게 있으십니까?
TALK,0,나,무언가를 추리하기엔 아직 정보가 부족하더군요.
TALK,0,형사,"아, 마을 사람들의 정보를 정리해둔 파일이 있습니다. 금방 가져다드리겠습니다."
TALK,0,나,"예, 감사합니다."
TALK,0,형사,"여기, 파일입니다. 아직 몇 분은 만나 뵙지 못해 공란입니다."
TALK,0,나,이거면 충분합니다. 다 읽은 뒤 돌려드릴게요.
TALK,0,형사,"예, 그럼."
SET,0,Member,
TALK,0,나,어디 한 번 볼까.
SELECT,0,1,제프리에 대한 정보
SELECT,0,2,엘레나에 대한 정보
SELECT,0,3,가브렐라에 대한 정보
TALK,1,나,"<b>제프리, 35세 남성. 엘레나와 부부 관계."
TALK,1,나,<b>모두를 차별 없이 대하는 모습이 특징적.
TALK,1,나,"<b>강박증과 관련한 기록이 있긴 하지만, 잘 알려져 있지 않다."
TALK,1,나,<b>의사로서 집을 비울 때가 많다.
TALK,2,나,"<b>엘레나, 32세 여성. 제프리와 부부 관계."
TALK,2,나,<b>투렛 증후군으로 인해 사회생활에 어려움을 보인다.
TALK,2,나,<b>향수 업체에서 일했으나 현재는 휴직 상태.
TALK,2,나,"<b>남편과 사이가 좋아, 잉꼬부부로 불린다."
TALK,3,나,"<b>가브렐라, 46세 여성. 남편과 사별."
TALK,3,나,<b>우울증을 겪고 있으나 정원 일을 시작한 이후 밝아졌다.
TALK,3,나,<b>남편이 데려온 강아지에게 뽀삐라는 이름을 붙여 아껴주고 있다.
TALK,0,나,다른 인물에 대해서도 알아야 한다.
SELECT,0,1,제프리에 대한 정보
SELECT,0,2,엘레나에 대한 정보
SELECT,0,3,가브렐라에 대한 정보
TALK,1,나,"<b>제프리, 35세 남성. 엘레나와 부부 관계."
TALK,1,나,<b>모두를 차별 없이 대하는 모습이 특징적.
TALK,1,나,"<b>강박증과 관련한 기록이 있긴 하지만, 잘 알려져 있지 않다."
TALK,1,나,<b>의사로서 집을 비울 때가 많다.
TALK,2,나,"<b>엘레나, 32세 여성. 제프리와 부부 관계."
TALK,2,나,<b>투렛 증후군으로 인해 사회생활에 어려움을 보인다.
TALK,2,나,<b>향수 업체에서 일했으나 현재는 휴직 상태.
TALK,2,나,"<b>남편과 사이가 좋아, 잉꼬부부로 불린다."
TALK,3,나,"<b>가브렐라, 46세 여성. 남편과 사별."
TALK,3,나,<b>우울증을 겪고 있으나 정원 일을 시작한 이후 밝아졌다.
TALK,3,나,<b>남편이 데려온 강아지에게 뽀삐라는 이름을 붙여 아껴주고 있다.
TALK,0,나,마지막 인물인가.
SELECT,0,1,제프리에 대한 정보
SELECT,0,2,엘레나에 대한 정보
SELECT,0,3,가브렐라에 대한 정보
TALK,1,나,"<b>제프리, 35세 남성. 엘레나와 부부 관계."
TALK,1,나,<b>모두를 차별 없이 대하는 모습이 특징적.
TALK,1,나,"<b>강박증과 관련한 기록이 있긴 하지만, 잘 알려져 있지 않다."
TALK,1,나,<b>의사로서 집을 비울 때가 많다.
TALK,2,나,"<b>엘레나, 32세 여성. 제프리와 부부 관계."
TALK,2,나,<b>투렛 증후군으로 인해 사회생활에 어려움을 보인다.
TALK,2,나,<b>향수 업체에서 일했으나 현재는 휴직 상태.
TALK,2,나,"<b>남편과 사이가 좋아, 잉꼬부부로 불린다."
TALK,3,나,"<b>가브렐라, 46세 여성. 남편과 사별."
TALK,3,나,<b>우울증을 겪고 있으나 정원 일을 시작한 이후 밝아졌다.
TALK,3,나,<b>남편이 데려온 강아지에게 뽀삐라는 이름을 붙여 아껴주고 있다.
TALK,0,나,"좋아, 다 봤다."
SET,0,Member,형사
TALK,0,형사,탐정님. 피해자의 집에서 usb를 발견했습니다만... 파일에 암호가 걸려있더군요.
TALK,0,나,암호라... 파일명이 특이하군요.
TALK,0,나,<b>성령을 소멸하지 말며... 성경의 구절이던가요?
TALK,0,형사,그렇지 않겠습니까? 저도 종교인은 아닌지라 확신할 수는 없습니다만...
TALK,0,나,"뭐, 그리 중요한 건 아니니까요."
TALK,0,나,해독에는 얼마나 걸릴 것 같습니까?
TALK,0,형사,앞으로 30분이면 될 것 같습니다.
TALK,0,나,"흠... 마을 사람들과 인터뷰를 하고 있을 테니, 부탁드립니다."
